"filename", "language", "TypeScript JSX", "TypeScript", "XML", "JSON", "Java", "Java Properties", "Batch", "Markdown", "comment", "blank", "total"
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\response\PieChartQuery.java", "Java", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\response\PriConQuery.java", "Java", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\service\AuthService.java", "Java", 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\service\PackageService.java", "Java", 0, 0, 0, 0, 52, 0, 0, 0, 4, 15, 71
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\service\StatisticsService.java", "Java", 0, 0, 0, 0, 77, 0, 0, 0, 0, 19, 96
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\service\UploadService.java", "Java", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\service\UserService.java", "Java", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\util\DateHandler.java", "Java", 0, 0, 0, 0, 15, 0, 0, 0, 7, 4, 26
"d:\KhoiDz\package-manager\package-manager-be\src\main\java\com\mbamc\packagemanagerbe\util\PackageExcelHandler.java", "Java", 0, 0, 0, 0, 139, 0, 0, 0, 1, 26, 166
"d:\KhoiDz\package-manager\package-manager-be\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 8, 0, 0, 3, 0, 11
"d:\KhoiDz\package-manager\package-manager-be\src\test\java\com\mbamc\packagemanagerbe\PackageManagerBeApplicationTests.java", "Java", 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -66, 0, -6, -72
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -9, 0, -6, -15
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -12, 0, -7, -19
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\results.json", "JSON", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-37-38\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -51, 0, -7, -58
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -66, 0, -6, -72
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -9, 0, -6, -15
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -12, 0, -7, -19
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\results.json", "JSON", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\KhoiDz\package-manager\package-manager-fe\.VSCodeCounter\2024-06-13_17-38-04\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -52, 0, -7, -59
"d:\KhoiDz\package-manager\package-manager-fe\package-lock.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 29
"d:\KhoiDz\package-manager\package-manager-fe\package.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-chart\SimpleBarChart.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-chart\SimpleLineChart.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-date-picker\CustomDateRangePicker.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\custom-dialog\CustomDialog.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\data-table\Columns.tsx", "TypeScript JSX", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\data-table\DataTable.tsx", "TypeScript JSX", 136, 0, 0, 0, 0, 0, 0, 0, 2, 5, 143
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\homeview\RequestPackageDialog.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\data-visualization\DataVisualization.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, -1, 8
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\data-visualization\bar-chart-card-view\BarChartCard.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\highest-by-dep-by-date\HighestByDepByDate.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\highest-use-table\HighestUseTable.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\total-waybill-table\TotalWaybillTable.tsx", "TypeScript JSX", -24, 0, 0, 0, 0, 0, 0, 0, 0, -2, -26
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 126, 0, 0, 0, 0, 0, 0, 0, 0, 14, 140
"d:\KhoiDz\package-manager\package-manager-fe\src\interface\packageInterface.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -4
"d:\KhoiDz\package-manager\package-manager-fe\src\redux\slices\packageSlice.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, -1, 0, 57
"d:\KhoiDz\package-manager\package-manager-fe\src\services\StatsService.tsx", "TypeScript JSX", -10, 0, 0, 0, 0, 0, 0, 0, 0, 2, -8
"d:\KhoiDz\package-manager\package-manager-fe\src\services\TableService.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 2, -1, 19
"d:\KhoiDz\package-manager\package-manager-fe\src\views\management-view\statistics-table-view\StatisticsTableView.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"Total", "-", 466, -4, 173, 28, 947, 10, 118, -277, 121, 248, 1830
